PORTUGUESE SYLLABIFIED WORD LIST - COMPLETE (CAO FIXED)
Generated by Portuguese Syllabification Algorithm
Fixed: 'qu' words and 'cao' words now properly syllabified
============================================================
Format: ORIGINAL_WORD    syllabified-word
COLORACAO            co-lo-ra-CAO
COLORADO             co-lo-ra-do
COLORANTE            co-lo-ran-te
COLORAU              co-lo-rau
COLORIDA             co-lo-ri-da
COLORIDO             co-lo-ri-do
COLORIR              co-lo-rir
COLORIZACAO          co-lo-ri-za-CAO
COLORIZAR            co-lo-ri-zar
COLOSSAL             co-los-sal
COLOSSO              co-los-so
COLUBRINA            co-lu-bri-na
COLUMBICULTOR        co-lum-bi-cul-tor
COLUMBICULTURA       co-lum-bi-cul-tu-ra
COLUMBOFILIA         co-lum-bo-fi-li-a
COLUMBOFILO          co-lum-bo-fi-lo
COLUNA               co-lu-na
COLUNAVEL            co-lu-na-vel
COLUNISMO            co-lu-nis-mo
COLUNISTA            co-lu-nis-ta
COLUSAO              co-lu-sa-o
COM                  com
COMA                 co-ma
COMADRE              co-ma-dre
COMANCHE             co-man-che
COMANDANTE           co-man-dan-te
COMANDAR             co-man-dar
COMANDO              co-man-do
COMANDOS             co-man-dos
COMARCA              co-mar-ca
COMATOSO             co-ma-to-so
COMBALIDO            com-ba-li-do
COMBALIR             com-ba-lir
COMBATE              com-ba-te
COMBATENTE           com-ba-ten-te
COMBATENTES          com-ba-ten-tes
COMBATER             com-ba-ter
COMBATIVIDADE        com-ba-ti-vi-da-de
COMBATIVO            com-ba-ti-vo
COMBINACAO           com-bi-na-CAO
COMBINADO            com-bi-na-do
COMBINAR             com-bi-nar
COMBINATORIA         com-bi-na-to-ri-a
COMBINATORIO         com-bi-na-to-ri-o
COMBOIO              com-boi-o
COMBUSTAO            com-bus-ta-o
COMBUSTIVEL          com-bus-ti-vel
COMECADAS            co-me-ca-das
COMECAR              co-me-car
COMECO               co-me-co
COMEDIA              co-me-di-a
COMEDIANTE           co-me-di-an-te
COMEDIDO             co-me-di-do
COMEDIMENTO          co-me-di-men-to
COMEDIR              co-me-dir
COMEMORACAO          co-me-mo-ra-CAO
COMEMORAR            co-me-mo-rar
COMEMORATIVO         co-me-mo-ra-ti-vo
COMENDA              co-men-da
COMENDADOR           co-men-da-dor
COMENSAL             co-men-sal
COMENSURAR           co-men-su-rar
COMENSURAVEL         co-men-su-ra-vel
COMENTAR             co-men-tar
COMENTARIO           co-men-ta-ri-o
COMENTARIOS          co-men-ta-ri-os
COMENTARISTA         co-men-ta-ris-ta
COMER                co-mer
COMERCIAL            co-mer-ci-al
COMERCIALIZACAO      co-mer-ci-a-li-za-CAO
COMERCIALIZADO       co-mer-ci-a-li-za-do
COMERCIALIZAR        co-mer-ci-a-li-zar
COMERCIALIZAVEL      co-mer-ci-a-li-za-vel
COMERCIANTE          co-mer-ci-an-te
COMERCIAR            co-mer-ci-ar
COMERCIAVEL          co-mer-ci-a-vel
COMERCIO             co-mer-ci-o
COMES                co-mes
COMESTIVEIS          co-mes-ti-veis
COMESTIVEL           co-mes-ti-vel
COMETA               co-me-ta
COMETER              co-me-ter
COMEU                co-meu
COMICHAO             co-mi-cha-o
COMICIDADE           co-mi-ci-da-de
COMICIO              co-mi-ci-o
COMICO               co-mi-co
COMIDA               co-mi-da
COMIDO               co-mi-do
COMIGO               co-mi-go
COMILANCA            co-mi-lan-ca
COMILAO              co-mi-la-o
COMINHO              co-mi-nho
COMISERACAO          co-mi-se-ra-CAO
COMISERAR            co-mi-se-rar
COMISSAO             co-mis-sa-o
COMISSARIO           co-mis-sa-ri-o
COMISSIONADO         co-mis-si-o-na-do
COMISSIONAMENTO      co-mis-si-o-na-men-to
COMISSIONAR          co-mis-si-o-nar
COMITE               co-mi-te
COMITIVA             co-mi-ti-va
COMO                 co-mo
COMOCAO              co-mo-CAO
COMODA               co-mo-da
COMODIDADE           co-mo-di-da-de
COMODISMO            co-mo-dis-mo
COMODISTA            co-mo-dis-ta
COMODO               co-mo-do
COMODORO             co-mo-do-ro
COMOVEDOR            co-mo-ve-dor
COMOVENTE            co-mo-ven-te
COMOVER              co-mo-ver
COMOVIDO             co-mo-vi-do
COMPACTACAO          com-pac-ta-CAO
COMPACTADOR          com-pac-ta-dor
COMPACTAR            com-pac-tar
COMPACTO             com-pac-to
COMPACTUAR           com-pac-tu-ar
COMPADECER           com-pa-de-cer
COMPADECIDO          com-pa-de-ci-do
COMPADECIMENTO       com-pa-de-ci-men-to
COMPADRE             com-pa-dre
COMPAIXAO            com-pai-xa-o
COMPANHEIRA          com-pa-nhei-ra
COMPANHEIRISMO       com-pa-nhei-ris-mo
COMPANHEIRO          com-pa-nhei-ro
COMPANHIA            com-pa-nhi-a
COMPARACAO           com-pa-ra-CAO
COMPARADA            com-pa-ra-da
COMPARADO            com-pa-ra-do
COMPARAR             com-pa-rar
COMPARATIVA          com-pa-ra-ti-va
COMPARATIVO          com-pa-ra-ti-vo
COMPARAVEL           com-pa-ra-vel
COMPARECER           com-pa-re-cer
COMPARECIMENTO       com-pa-re-ci-men-to
COMPARSA             com-par-sa
COMPARTILHADO        com-par-ti-lha-do
COMPARTILHAR         com-par-ti-lhar
COMPARTIMENTO        com-par-ti-men-to
COMPASSADO           com-pas-sa-do
COMPASSIVO           com-pas-si-vo
COMPASSO             com-pas-so
COMPATIBILIDADE      com-pa-ti-bi-li-da-de
COMPATIVEL           com-pa-ti-vel
COMPATRIOTA          com-pa-tri-o-ta
COMPELIDO            com-pe-li-do
COMPELIR             com-pe-lir
COMPENDIO            com-pen-di-o
COMPENETRACAO        com-pe-ne-tra-CAO
COMPENETRADO         com-pe-ne-tra-do
COMPENETRAR          com-pe-ne-trar
COMPENSA             com-pen-sa
COMPENSACAO          com-pen-sa-CAO
COMPENSADO           com-pen-sa-do
COMPENSADOR          com-pen-sa-dor
COMPENSAR            com-pen-sar
COMPENSATORIO        com-pen-sa-to-ri-o
COMPETENCIA          com-pe-ten-ci-a
COMPETENTE           com-pe-ten-te
COMPETICAO           com-pe-ti-CAO
COMPETIDOR           com-pe-ti-dor
COMPETIR             com-pe-tir
COMPETITIVIDADE      com-pe-ti-ti-vi-da-de
COMPETITIVO          com-pe-ti-ti-vo
COMPILACAO           com-pi-la-CAO
COMPILADOR           com-pi-la-dor
COMPILAR             com-pi-lar
COMPLACENCIA         com-pla-cen-ci-a
COMPLACENTE          com-pla-cen-te
COMPLEICAO           com-plei-CAO
COMPLEMENTACAO       com-ple-men-ta-CAO
COMPLEMENTAR         com-ple-men-tar
COMPLEMENTARIDADE    com-ple-men-ta-ri-da-de
COMPLEMENTO          com-ple-men-to
COMPLETA             com-ple-ta
COMPLETADA           com-ple-ta-da
COMPLETAMENTE        com-ple-ta-men-te
COMPLETAR            com-ple-tar
COMPLETO             com-ple-to
COMPLETOS            com-ple-tos
COMPLEXADO           com-ple-xa-do
COMPLEXAR            com-ple-xar
COMPLEXIDADE         com-ple-xi-da-de
COMPLEXO             com-ple-xo
COMPLICACAO          com-pli-ca-CAO
COMPLICADO           com-pli-ca-do
COMPLICAR            com-pli-car
COMPLO               com-plo
COMPONENTE           com-po-nen-te
COMPONENTES          com-po-nen-tes
COMPOR               com-por
COMPORTA             com-por-ta
COMPORTADO           com-por-ta-do
COMPORTAMENTO        com-por-ta-men-to
COMPORTAR            com-por-tar
COMPOSICAO           com-po-si-CAO
COMPOSITOR           com-po-si-tor
COMPOSTA             com-pos-ta
COMPOSTO             com-pos-to
COMPOTA              com-po-ta
COMPOTEIRA           com-po-tei-ra
COMPRA               com-pra
COMPRADOR            com-pra-dor
COMPRAR              com-prar
COMPREENDER          com-pre-en-der
COMPREENDIDO         com-pre-en-di-do
COMPREENSAO          com-pre-en-sa-o
COMPREENSIVEL        com-pre-en-si-vel
COMPREENSIVO         com-pre-en-si-vo
COMPRESSA            com-pres-sa
COMPRESSAO           com-pres-sa-o
COMPRESSIBILIDADE    com-pres-si-bi-li-da-de
COMPRESSOR           com-pres-sor
COMPRIDA             com-pri-da
COMPRIDO             com-pri-do
COMPRIMIDO           com-pri-mi-do
COMPRIMIR            com-pri-mir
COMPROBATORIO        com-pro-ba-to-ri-o
COMPROMETEDOR        com-pro-me-te-dor
COMPROMETER          com-pro-me-ter
COMPROMETIDO         com-pro-me-ti-do
COMPROMETIMENTO      com-pro-me-ti-men-to
COMPROMISSAR         com-pro-mis-sar
COMPROMISSO          com-pro-mis-so
COMPROVACAO          com-pro-va-CAO
COMPROVANTE          com-pro-van-te
COMPROVAR            com-pro-var
COMPULSAO            com-pul-sa-o
COMPULSIVO           com-pul-si-vo
COMPULSORIO          com-pul-so-ri-o
COMPUNGIR            com-pun-gir
COMPUTACAO           com-pu-ta-CAO
COMPUTACIONAL        com-pu-ta-ci-o-nal
COMPUTADO            com-pu-ta-do
COMPUTADOR           com-pu-ta-dor
COMPUTADORIZACAO     com-pu-ta-do-ri-za-CAO
COMPUTADORIZADA      com-pu-ta-do-ri-za-da
COMPUTADORIZAR       com-pu-ta-do-ri-zar
COMPUTAR             com-pu-tar
COMPUTAVEL           com-pu-ta-vel
COMPUTO              com-pu-to
COMUM                co-mum
COMUNA               co-mu-na
COMUNAL              co-mu-nal
COMUNGADO            co-mun-ga-do
COMUNGAR             co-mun-gar
COMUNHAO             co-mu-nha-o
COMUNICA             co-mu-ni-ca
COMUNICABILIDADE     co-mu-ni-ca-bi-li-da-de
COMUNICACAO          co-mu-ni-ca-CAO
COMUNICACOES         co-mu-ni-ca-co-es
COMUNICADO           co-mu-ni-ca-do
COMUNICADOR          co-mu-ni-ca-dor
COMUNICAR            co-mu-ni-car
COMUNICATIVO         co-mu-ni-ca-ti-vo
COMUNICAVEL          co-mu-ni-ca-vel
COMUNICOLOGO         co-mu-ni-co-lo-go
COMUNIDADE           co-mu-ni-da-de
COMUNISMO            co-mu-nis-mo
COMUNISTA            co-mu-nis-ta
COMUNITARIO          co-mu-ni-ta-ri-o
COMUTACAO            co-mu-ta-CAO
COMUTADOR            co-mu-ta-dor
COMUTAR              co-mu-tar
COMUTATIVIDADE       co-mu-ta-ti-vi-da-de
COMUTATIVO           co-mu-ta-ti-vo
CONATIVA             co-na-ti-va
CONCATENACAO         con-ca-te-na-CAO
CONCATENAMENTO       con-ca-te-na-men-to
CONCATENAR           con-ca-te-nar
CONCAVIDADE          con-ca-vi-da-de
CONCAVO              con-ca-vo
CONCEBER             con-ce-ber
CONCEBIVEL           con-ce-bi-vel
CONCEDER             con-ce-der
CONCEDIDO            con-ce-di-do
CONCEICAO            con-cei-CAO
CONCEITO             con-cei-to
CONCEITOS            con-cei-tos
CONCEITUACAO         con-cei-tu-a-CAO
CONCEITUADO          con-cei-tu-a-do
CONCEITUAL           con-cei-tu-al
CONCEITUALISMO       con-cei-tu-a-lis-mo
CONCEITUAR           con-cei-tu-ar
CONCENTRACAO         con-cen-tra-CAO
CONCENTRADO          con-cen-tra-do
CONCENTRAR           con-cen-trar
CONCENTRICO          con-cen-tri-co
CONCEPCAO            con-cep-CAO
CONCERNENTE          con-cer-nen-te
CONCERNIR            con-cer-nir
CONCERTINO           con-cer-ti-no
CONCERTISTA          con-cer-tis-ta
CONCERTO             con-cer-to
CONCESSAO            con-ces-sa-o
CONCESSIONARIA       con-ces-si-o-na-ri-a
CONCESSIVA           con-ces-si-va
CONCHA               con-cha
CONCHAVADO           con-cha-va-do
CONCHAVAR            con-cha-var
CONCHAVO             con-cha-vo
CONCIDADAO           con-ci-da-da-o
CONCILIACAO          con-ci-li-a-CAO
CONCILIADOR          con-ci-li-a-dor
CONCILIAR            con-ci-li-ar
CONCILIATORIO        con-ci-li-a-to-ri-o
CONCILIAVEL          con-ci-li-a-vel
CONCILIO             con-ci-li-o
CONCISAO             con-ci-sa-o
CONCISO              con-ci-so
CONCLAMACAO          con-cla-ma-CAO
CONCLAMAR            con-cla-mar
CONCLAVE             con-cla-ve
CONCLUDENTE          con-clu-den-te
CONCLUIDO            con-clui-do
CONCLUIR             con-cluir
CONCLUSAO            con-clu-sa-o
CONCLUSIVA           con-clu-si-va
CONCLUSIVO           con-clu-si-vo
CONCOMITANCIA        con-co-mi-tan-ci-a
CONCOMITANTE         con-co-mi-tan-te
CONCORDANCIA         con-cor-dan-ci-a
CONCORDANTE          con-cor-dan-te
CONCORDAR            con-cor-dar
CONCORDATA           con-cor-da-ta
CONCORDATARIO        con-cor-da-ta-ri-o
CONCORDIA            con-cor-di-a
CONCORRENCIA         con-cor-ren-ci-a
CONCORRENTE          con-cor-ren-te
CONCORRER            con-cor-rer
CONCORRIDO           con-cor-ri-do
CONCRETA             con-cre-ta
CONCRETISMO          con-cre-tis-mo
CONCRETISTA          con-cre-tis-ta
CONCRETIZACAO        con-cre-ti-za-CAO
CONCRETIZADO         con-cre-ti-za-do
CONCRETIZAR          con-cre-ti-zar
CONCRETIZAVEL        con-cre-ti-za-vel
CONCRETO             con-cre-to
CONCUBINA            con-cu-bi-na
CONCUBINAGEM         con-cu-bi-na-gem
CONCUBINAR           con-cu-bi-nar
CONCUBINATO          con-cu-bi-na-to
CONCUNHADO           con-cu-nha-do
CONCURSADO           con-cur-sa-do
CONCURSAR            con-cur-sar
CONCURSO             con-cur-so
CONCUSSAO            con-cus-sa-o
CONDADO              con-da-do
CONDAO               con-da-o
CONDE                con-de
CONDECORACAO         con-de-co-ra-CAO
CONDECORADO          con-de-co-ra-do
CONDECORAR           con-de-co-rar
CONDENACAO           con-de-na-CAO
CONDENADO            con-de-na-do
CONDENAR             con-de-nar
CONDENAVEL           con-de-na-vel
CONDENSACAO          con-den-sa-CAO
CONDENSADOR          con-den-sa-dor
CONDENSAR            con-den-sar
CONDESCENDENCIA      con-des-cen-den-ci-a
CONDESCENDENTE       con-des-cen-den-te
CONDESCENDER         con-des-cen-der
CONDESSA             con-des-sa
CONDICAO             con-di-CAO
CONDICIONADO         con-di-ci-o-na-do
CONDICIONADOR        con-di-ci-o-na-dor
CONDICIONAL          con-di-ci-o-nal
CONDICIONAMENTO      con-di-ci-o-na-men-to
CONDICIONAR          con-di-ci-o-nar
CONDICOES            con-di-co-es
CONDIMENTACAO        con-di-men-ta-CAO
CONDIMENTADO         con-di-men-ta-do
CONDIMENTAR          con-di-men-tar
CONDIMENTO           con-di-men-to
CONDIZENTE           con-di-zen-te
CONDIZER             con-di-zer
CONDOER              con-do-er
CONDOIDO             con-doi-do
CONDOIMENTO          con-doi-men-to
CONDOLENCIA          con-do-len-ci-a
CONDOLENTE           con-do-len-te
CONDOMINIO           con-do-mi-ni-o
CONDOMINO            con-do-mi-no
CONDOR               con-dor
CONDUCAO             con-du-CAO
CONDUTA              con-du-ta
CONDUTANCIA          con-du-tan-ci-a
CONDUTIBILIDADE      con-du-ti-bi-li-da-de
CONDUTIVEL           con-du-ti-vel
CONDUTIVIDADE        con-du-ti-vi-da-de
CONDUTIVO            con-du-ti-vo
CONDUTO              con-du-to
CONDUTOR             con-du-tor
CONDUZ               con-duz
CONDUZIR             con-du-zir
CONE                 co-ne
CONECTAR             co-nec-tar
CONECTIVO            co-nec-ti-vo
CONECTOR             co-nec-tor
CONEGO               co-ne-go
CONEXAO              co-ne-xa-o
CONEXO               co-ne-xo
CONFABULACAO         con-fa-bu-la-CAO
CONFABULAR           con-fa-bu-lar
CONFECCAO            con-fec-CAO
CONFECCIONADO        con-fec-ci-o-na-do
CONFECCIONADOR       con-fec-ci-o-na-dor
CONFECCIONAR         con-fec-ci-o-nar
CONFECCIONISTA       con-fec-ci-o-nis-ta
CONFEDERACAO         con-fe-de-ra-CAO
CONFEDERADO          con-fe-de-ra-do
CONFEDERAR           con-fe-de-rar
CONFEDERATIVO        con-fe-de-ra-ti-vo
CONFEITADO           con-fei-ta-do
CONFEITAR            con-fei-tar
CONFEITARIA          con-fei-ta-ri-a
CONFEITEIRO          con-fei-tei-ro
CONFEITO             con-fei-to
CONFERENCIA          con-fe-ren-ci-a
CONFERENCIAR         con-fe-ren-ci-ar
CONFERENCISTA        con-fe-ren-cis-ta
CONFERIR             con-fe-rir
CONFESSADO           con-fes-sa-do
CONFESSAR            con-fes-sar
CONFESSAVEL          con-fes-sa-vel
CONFESSIONARIO       con-fes-si-o-na-ri-o
CONFESSOR            con-fes-sor
CONFETE              con-fe-te
CONFIABILIDADE       con-fi-a-bi-li-da-de
CONFIADO             con-fi-a-do
CONFIANCA            con-fi-an-ca
CONFIANTE            con-fi-an-te
CONFIAR              con-fi-ar
CONFIAVEL            con-fi-a-vel
CONFIDENCIA          con-fi-den-ci-a
CONFIDENCIAL         con-fi-den-ci-al
CONFIDENCIAR         con-fi-den-ci-ar
CONFIDENTE           con-fi-den-te
CONFIGURACAO         con-fi-gu-ra-CAO
CONFIGURAR           con-fi-gu-rar
CONFINAMENTO         con-fi-na-men-to
CONFINAR             con-fi-nar
CONFINS              con-fin-s
CONFIRMACAO          con-fir-ma-CAO
CONFIRMAR            con-fir-mar
CONFISCAR            con-fis-car
CONFISCO             con-fis-co
CONFISSAO            con-fis-sa-o
CONFLAGRACAO         con-fla-gra-CAO
CONFLAGRAR           con-fla-grar
CONFLITANTE          con-fli-tan-te
CONFLITO             con-fli-to
CONFLUENCIA          con-flu-en-ci-a
CONFLUENTE           con-flu-en-te
CONFLUIR             con-fluir
CONFORMACAO          con-for-ma-CAO
CONFORMADO           con-for-ma-do
CONFORMAR            con-for-mar
CONFORME             con-for-me
CONFORMIDADE         con-for-mi-da-de
CONFORMISMO          con-for-mis-mo
CONFORMISTA          con-for-mis-ta
CONFORTADOR          con-for-ta-dor
CONFORTAR            con-for-tar
CONFORTAVEL          con-for-ta-vel
CONFORTO             con-for-to
CONFRADE             con-fra-de
CONFRARIA            con-fra-ri-a
CONFRATERNIZACAO     con-fra-ter-ni-za-CAO
CONFRATERNIZAR       con-fra-ter-ni-zar
CONFRONTACAO         con-fron-ta-CAO
CONFRONTAR           con-fron-tar
CONFRONTO            con-fron-to
CONFUCIONISMO        con-fu-ci-o-nis-mo
CONFUCIONISTA        con-fu-ci-o-nis-ta
CONFUNDIR            con-fun-dir
CONFUNDIVEL          con-fun-di-vel
CONFUSAO             con-fu-sa-o
CONFUSO              con-fu-so
CONGA                con-ga
CONGADO              con-ga-do
CONGELACAO           con-ge-la-CAO
CONGELADOR           con-ge-la-dor
CONGELADOS           con-ge-la-dos
CONGELAMENTO         con-ge-la-men-to
CONGELAR             con-ge-lar
CONGENERE            con-ge-ne-re
CONGENITO            con-ge-ni-to
CONGESTAO            con-ges-ta-o
CONGESTIONAMENTO     con-ges-ti-o-na-men-to
CONGESTIONAR         con-ges-ti-o-nar
CONGLOMERACAO        con-glo-me-ra-CAO
CONGLOMERADO         con-glo-me-ra-do
CONGLOMERAR          con-glo-me-rar
CONGOLES             con-go-les
CONGRACAMENTO        con-gra-ca-men-to
CONGRACAR            con-gra-car
CONGRATULACAO        con-gra-tu-la-CAO
CONGRATULAR          con-gra-tu-lar
CONGREGACAO          con-gre-ga-CAO
CONGREGAR            con-gre-gar
CONGRESSISTA         con-gres-sis-ta
CONGRESSO            con-gres-so
CONGRUENCIA          con-gru-en-ci-a
CONGRUENTE           con-gru-en-te
CONHAQUE             co-nhaq-ue
CONHECE              co-nhe-ce
CONHECEDOR           co-nhe-ce-dor
CONHECER             co-nhe-cer
CONHECIDAS           co-nhe-ci-das
CONHECIDO            co-nhe-ci-do
CONHECIMENTO         co-nhe-ci-men-to
CONICO               co-ni-co
CONIFERAS            co-ni-fe-ras
CONIVENCIA           co-ni-ven-ci-a
CONIVENTE            co-ni-ven-te
CONJECTURA           con-jec-tu-ra
CONJECTURAL          con-jec-tu-ral
CONJECTURAR          con-jec-tu-rar
CONJECTURAVEL        con-jec-tu-ra-vel
CONJETURAR           con-je-tu-rar
CONJUGACAO           con-ju-ga-CAO
CONJUGAL             con-ju-gal
CONJUGAR             con-ju-gar
CONJUGAVEL           con-ju-ga-vel
CONJUGE              con-ju-ge
CONJUNCAO            con-jun-CAO
CONJUNTA             con-jun-ta
CONJUNTIVITE         con-jun-ti-vi-te
CONJUNTIVO           con-jun-ti-vo
CONJUNTO             con-jun-to
CONJUNTOS            con-jun-tos
CONJUNTURA           con-jun-tu-ra
CONJURACAO           con-ju-ra-CAO
CONJURADO            con-ju-ra-do
CONJURAR             con-ju-rar
CONLUIO              con-lui-o
CONOSCO              co-nos-co
CONOTACAO            co-no-ta-CAO
CONOTAR              co-no-tar
CONOTATIVO           co-no-ta-ti-vo
CONQUANTO            con-quan-to
CONQUISTA            con-quis-ta
CONQUISTADO          con-quis-ta-do
CONQUISTADOR         con-quis-ta-dor
CONQUISTAR           con-quis-tar
CONQUISTAVEL         con-quis-ta-vel
CONSAGRACAO          con-sa-gra-CAO
CONSAGRADO           con-sa-gra-do
CONSAGRAR            con-sa-grar
CONSANGUINEO         con-san-gui-ne-o
CONSANGUINIDADE      con-san-gui-ni-da-de
CONSCIENCIA          con-sci-en-ci-a
CONSCIENCIOSO        con-sci-en-ci-o-so
CONSCIENTE           con-sci-en-te
CONSCIENTIZACAO      con-sci-en-ti-za-CAO
CONSCIENTIZAR        con-sci-en-ti-zar
CONSCIO              con-sci-o
CONSCRICAO           con-sc-ri-CAO
CONSCRITO            con-sc-ri-to
CONSECUTIVA          con-se-cu-ti-va
CONSECUTIVO          con-se-cu-ti-vo
CONSEGUI             con-seg-ui
CONSEGUIA            con-seg-ui-a
CONSEGUINTE          con-seg-uin-te
CONSEGUIR            con-seg-uir
CONSELHEIRO          con-se-lhei-ro
CONSELHO             con-se-lho
CONSENSO             con-sen-so
CONSENTIMENTO        con-sen-ti-men-to
CONSENTIR            con-sen-tir
CONSEQUENCIA         con-seq-uen-ci-a
CONSEQUENTE          con-seq-uen-te
CONSERTADO           con-ser-ta-do
CONSERTAR            con-ser-tar
CONSERTO             con-ser-to
CONSERVA             con-ser-va
CONSERVACAO          con-ser-va-CAO
CONSERVACIONISTA     con-ser-va-ci-o-nis-ta
CONSERVADO           con-ser-va-do
CONSERVADOR          con-ser-va-dor
CONSERVADORISMO      con-ser-va-do-ris-mo
CONSERVANTE          con-ser-van-te
CONSERVAR            con-ser-var
CONSERVATORIO        con-ser-va-to-ri-o
CONSIDERACAO         con-si-de-ra-CAO
CONSIDERADO          con-si-de-ra-do
CONSIDERAR           con-si-de-rar
CONSIDERAVA          con-si-de-ra-va
CONSIDERAVEL         con-si-de-ra-vel
CONSIDERO            con-si-de-ro
CONSIGNACAO          con-sig-na-CAO
CONSIGNAR            con-sig-nar
CONSIGO              con-si-go
CONSISTENCIA         con-sis-ten-ci-a
CONSISTENTE          con-sis-ten-te
CONSISTIR            con-sis-tir
CONSOANTE            con-so-an-te
CONSOLACAO           con-so-la-CAO
CONSOLADO            con-so-la-do
CONSOLADOR           con-so-la-dor
CONSOLAR             con-so-lar
CONSOLAVEL           con-so-la-vel
CONSOLE              con-so-le
CONSOLIDACAO         con-so-li-da-CAO
CONSOLIDADO          con-so-li-da-do
CONSOLIDAR           con-so-li-dar
CONSOLO              con-so-lo
CONSOME              con-so-me
CONSONANCIA          con-so-nan-ci-a
CONSONANTAL          con-so-nan-tal
CONSORCIO            con-sor-ci-o
CONSORTE             con-sor-te
CONSPICUO            con-spi-cu-o
CONSPIRACAO          con-spi-ra-CAO
CONSPIRADOR          con-spi-ra-dor
CONSPIRAR            con-spi-rar
CONSTANCIA           con-stan-ci-a
CONSTANTE            con-stan-te
CONSTAR              con-star
CONSTATACAO          con-sta-ta-CAO
CONSTATAR            con-sta-tar
CONSTELACAO          con-ste-la-CAO
CONSTELACOES         con-ste-la-co-es
CONSTERNACAO         con-ster-na-CAO
CONSTERNADO          con-ster-na-do
CONSTERNADOR         con-ster-na-dor
CONSTERNAR           con-ster-nar
CONSTIPACAO          con-sti-pa-CAO
CONSTIPADO           con-sti-pa-do
CONSTIPAR            con-sti-par
CONSTITUCIONAL       con-sti-tu-ci-o-nal
CONSTITUCIONALIDADE  con-sti-tu-ci-o-na-li-da-de
CONSTITUCIONALISMO   con-sti-tu-ci-o-na-lis-mo
CONSTITUCIONALISTA   con-sti-tu-ci-o-na-lis-ta
CONSTITUCIONALIZAR   con-sti-tu-ci-o-na-li-zar
CONSTITUICAO         con-sti-tui-CAO
CONSTITUIDO          con-sti-tui-do
CONSTITUINTE         con-sti-tuin-te
CONSTITUIR           con-sti-tuir
CONSTITUTIVO         con-sti-tu-ti-vo
CONSTRANGEDOR        con-st-ran-ge-dor
CONSTRANGER          con-st-ran-ger
CONSTRANGIDO         con-st-ran-gi-do
CONSTRANGIMENTO      con-st-ran-gi-men-to
CONSTRINGIR          con-st-rin-gir
CONSTRUCAO           con-st-ru-CAO
CONSTRUCOES          con-st-ru-co-es
CONSTRUIR            cons-tru-ir
CONSTRUTIVISMO       con-st-ru-ti-vis-mo
CONSTRUTIVISTA       con-st-ru-ti-vis-ta
CONSTRUTIVO          con-st-ru-ti-vo
CONSTRUTOR           con-st-ru-tor
CONSUBSTANCIACAO     con-sub-stan-ci-a-CAO
CONSUBSTANCIAR       con-sub-stan-ci-ar
CONSUETUDINARIO      con-su-e-tu-di-na-ri-o
CONSUL               con-sul
CONSULADO            con-su-la-do
CONSULAR             con-su-lar
CONSULENTE           con-su-len-te
CONSULESA            con-su-le-sa
CONSULTA             con-sul-ta
CONSULTAR            con-sul-tar
CONSULTAVEL          con-sul-ta-vel
CONSULTIVO           con-sul-ti-vo
CONSULTOR            con-sul-tor
CONSULTORIA          con-sul-to-ri-a
CONSULTORIO          con-sul-to-ri-o
CONSUMACAO           con-su-ma-CAO
CONSUMADO            con-su-ma-do
CONSUMAR             con-su-mar
CONSUMIDO            con-su-mi-do
CONSUMIDOR           con-su-mi-dor
CONSUMIR             con-su-mir
CONSUMISMO           con-su-mis-mo
CONSUMISTA           con-su-mis-ta
CONSUMIVEL           con-su-mi-vel
CONSUMO              con-su-mo
CONTA                con-ta
CONTABIL             con-ta-bil
CONTABILIDADE        con-ta-bi-li-da-de
CONTABILISTA         con-ta-bi-lis-ta
CONTABILIZACAO       con-ta-bi-li-za-CAO
CONTABILIZADO        con-ta-bi-li-za-do
CONTABILIZAR         con-ta-bi-li-zar
CONTABILIZAVEL       con-ta-bi-li-za-vel
CONTACTAR            con-tac-tar
CONTACTO             con-tac-to
CONTADO              con-ta-do
CONTADOR             con-ta-dor
CONTADORIA           con-ta-do-ri-a
CONTADOS             con-ta-dos
CONTAGEM             con-ta-gem
CONTAGIANTE          con-ta-gi-an-te
CONTAGIAR            con-ta-gi-ar
CONTAGIO             con-ta-gi-o
CONTAGIOSO           con-ta-gi-o-so
CONTAINER            con-tai-ner
CONTAMINACAO         con-ta-mi-na-CAO
CONTAMINADO          con-ta-mi-na-do
CONTAMINAR           con-ta-mi-nar
CONTANTO             con-tan-to
CONTAR               con-tar
CONTAS               con-tas
CONTATO              con-ta-to
CONTAVEL             con-ta-vel
CONTEINER            con-tei-ner
CONTEM               con-tem
CONTEMPLACAO         con-tem-pla-CAO
CONTEMPLAR           con-tem-plar
CONTEMPLATIVO        con-tem-pla-ti-vo
CONTEMPORANEO        con-tem-po-ra-ne-o
CONTEMPORIZACAO      con-tem-po-ri-za-CAO
CONTEMPORIZAR        con-tem-po-ri-zar
CONTENCAO            con-ten-CAO
CONTENDA             con-ten-da
CONTENDOR            con-ten-dor
CONTENSAO            con-ten-sa-o
CONTENTAMENTO        con-ten-ta-men-to
CONTENTAR            con-ten-tar
CONTENTE             con-ten-te
CONTENTO             con-ten-to
CONTER               con-ter
CONTERRANEO          con-ter-ra-ne-o
CONTESTACAO          con-tes-ta-CAO
CONTESTADO           con-tes-ta-do
CONTESTAR            con-tes-tar
CONTESTATORIO        con-tes-ta-to-ri-o
CONTESTAVEL          con-tes-ta-vel
